medal_type,medal_code,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Silver Medal,2,PUPO L,PUPO Leuris,M,CUB,SHO,25m Rapid Fire Pistol Men,Cuba,Shooting
Bronze Medal,3,LI Y,LI Yuehong,M,CHN,SHO,25m Rapid Fire Pistol Men,People's Republic of China,Shooting
Gold Medal,1,ZHANG C,ZHANG Changhong,M,CHN,SHO,50m Rifle 3 Positions Men,People's Republic of China,Shooting
Silver Medal,2,KAMENSKIY S,KAMENSKIY Sergey,M,ROC,SHO,50m Rifle 3 Positions Men,ROC,Shooting
Bronze Medal,3,SEBIC M,SEBIC Milenko,M,SRB,SHO,50m Rifle 3 Positions Men,Serbia,Shooting
Gold Medal,1,LI W,LI Wenwen,W,CHN,WLF,Women's +87kg,People's Republic of China,Weightlifting
Silver Medal,2,CAMPBELL EJ,CAMPBELL Emily Jade,W,GBR,WLF,Women's +87kg,Great Britain,Weightlifting
Bronze Medal,3,ROBLES SE,ROBLES Sarah Elizabeth,W,USA,WLF,Women's +87kg,United States of America,Weightlifting
Gold Medal,1,WANG Z,WANG Zhouyu,W,CHN,WLF,Women's 87kg,People's Republic of China,Weightlifting
Silver Medal,2,SALAZAR ARCE TY,SALAZAR ARCE Tamara Yajaira,W,ECU,WLF,Women's 87kg,Ecuador,Weightlifting
Bronze Medal,3,SANTANA PEGUERO CD,SANTANA PEGUERO Crismery Dominga,W,DOM,WLF,Women's 87kg,Dominican Republic,Weightlifting
Gold Medal,1,LOPEZ NUNEZ M,LOPEZ NUNEZ Mijain,M,CUB,WRE,Men's Greco-Roman 130kg,Cuba,Wrestling
Silver Medal,2,KAJAIA I,KAJAIA Iakobi,M,GEO,WRE,Men's Greco-Roman 130kg,Georgia,Wrestling
Bronze Medal,3,KAYAALP R,KAYAALP Riza,M,TUR,WRE,Men's Greco-Roman 130kg,Turkey,Wrestling
Bronze Medal,3,SEMENOV S,SEMENOV Sergei,M,ROC,WRE,Men's Greco-Roman 130kg,ROC,Wrestling
Gold Medal,1,ORTA SANCHEZ LA,ORTA SANCHEZ Luis Alberto,M,CUB,WRE,Men's Greco-Roman 60kg,Cuba,Wrestling
Silver Medal,2,FUMITA K,FUMITA Kenichiro,M,JPN,WRE,Men's Greco-Roman 60kg,Japan,Wrestling
Bronze Medal,3,EMELIN S,EMELIN Sergey,M,ROC,WRE,Men's Greco-Roman 60kg,ROC,Wrestling
Bronze Medal,3,WALIHAN S,WALIHAN Sailike,M,CHN,WRE,Men's Greco-Roman 60kg,People's Republic of China,Wrestling
Gold Medal,1,ROTTER FOCKEN A,ROTTER FOCKEN Aline,W,GER,WRE,Women's Freestyle 76kg,Germany,Wrestling
Silver Medal,2,GRAY AM,GRAY Adeline Maria,W,USA,WRE,Women's Freestyle 76kg,United States of America,Wrestling
Bronze Medal,3,ADAR Y,ADAR Yasemin,W,TUR,WRE,Women's Freestyle 76kg,Turkey,Wrestling
Bronze Medal,3,ZHOU Q,ZHOU Qian,W,CHN,WRE,Women's Freestyle 76kg,People's Republic of China,Wrestling
Gold Medal,1,HASHIMOTO D,HASHIMOTO Daiki,M,JPN,GAR,Men's Horizontal Bar,Japan,Artistic Gymnastics
Silver Medal,2,SRBIC T,SRBIC Tin,M,CRO,GAR,Men's Horizontal Bar,Croatia,Artistic Gymnastics
Bronze Medal,3,NAGORNYY N,NAGORNYY Nikita,M,ROC,GAR,Men's Horizontal Bar,ROC,Artistic Gymnastics
Gold Medal,1,ZOU J,ZOU Jingyuan,M,CHN,GAR,Men's Parallel Bars,People's Republic of China,Artistic Gymnastics
Silver Medal,2,DAUSER L,DAUSER Lukas,M,GER,GAR,Men's Parallel Bars,Germany,Artistic Gymnastics
Bronze Medal,3,ARICAN F,ARICAN Ferhat,M,TUR,GAR,Men's Parallel Bars,Turkey,Artistic Gymnastics
Gold Medal,1,GUAN C,GUAN Chenchen,W,CHN,GAR,Women's Balance Beam,People's Republic of China,Artistic Gymnastics
Silver Medal,2,TANG X,TANG Xijing,W,CHN,GAR,Women's Balance Beam,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,BILES S,BILES Simone,W,USA,GAR,Women's Balance Beam,United States of America,Artistic Gymnastics
Gold Medal,1,WARHOLM K,WARHOLM Karsten,M,NOR,ATH,Men's 400m Hurdles,Norway,Athletics
Silver Medal,2,BENJAMIN R,BENJAMIN Rai,M,USA,ATH,Men's 400m Hurdles,United States of America,Athletics
Bronze Medal,3,dos SANTOS A,dos SANTOS Alison,M,BRA,ATH,Men's 400m Hurdles,Brazil,Athletics
Gold Medal,1,DUPLANTIS A,DUPLANTIS Armand,M,SWE,ATH,Men's Pole Vault,Sweden,Athletics
Silver Medal,2,NILSEN C,NILSEN Christopher,M,USA,ATH,Men's Pole Vault,United States of America,Athletics
Bronze Medal,3,BRAZ T,BRAZ Thiago,M,BRA,ATH,Men's Pole Vault,Brazil,Athletics
Gold Medal,1,THOMPSON-HERAH E,THOMPSON-HERAH Elaine,W,JAM,ATH,Women's 200m,Jamaica,Athletics
Silver Medal,2,MBOMA C,MBOMA Christine,W,NAM,ATH,Women's 200m,Namibia,Athletics
Bronze Medal,3,THOMAS G,THOMAS Gabrielle,W,USA,ATH,Women's 200m,United States of America,Athletics
Gold Medal,1,MU A,MU Athing,W,USA,ATH,Women's 800m,United States of America,Athletics
Silver Medal,2,HODGKINSON K,HODGKINSON Keely,W,GBR,ATH,Women's 800m,Great Britain,Athletics
Bronze Medal,3,ROGERS R,ROGERS Raevyn,W,USA,ATH,Women's 800m,United States of America,Athletics
Gold Medal,1,WLODARCZYK A,WLODARCZYK Anita,W,POL,ATH,Women's Hammer Throw,Poland,Athletics
Silver Medal,2,WANG Z,WANG Zheng,W,CHN,ATH,Women's Hammer Throw,People's Republic of China,Athletics
Bronze Medal,3,KOPRON M,KOPRON Malwina,W,POL,ATH,Women's Hammer Throw,Poland,Athletics
Gold Medal,1,MIHAMBO M,MIHAMBO Malaika,W,GER,ATH,Women's Long Jump,Germany,Athletics
Silver Medal,2,REESE B,REESE Brittney,W,USA,ATH,Women's Long Jump,United States of America,Athletics
Bronze Medal,3,BRUME E,BRUME Ese,W,NGR,ATH,Women's Long Jump,Nigeria,Athletics
Bronze Medal,3,ALVAREZ L,ALVAREZ Lazaro,M,CUB,BOX,Men's Feather (52-57kg),Cuba,Boxing
Bronze Medal,3,TAKYI S,TAKYI Samuel,M,GHA,BOX,Men's Feather (52-57kg),Ghana,Boxing
Bronze Medal,3,NYIKA D,NYIKA David,M,NZL,BOX,Men's Heavy (81-91kg),New Zealand,Boxing
Bronze Medal,3,TEIXEIRA A,TEIXEIRA Abner,M,BRA,BOX,Men's Heavy (81-91kg),Brazil,Boxing
Gold Medal,1,IGLESIAS R,IGLESIAS Roniel,M,CUB,BOX,Men's Welter (63-69kg),Cuba,Boxing
Silver Medal,2,McCORMACK P,McCORMACK Pat,M,GBR,BOX,Men's Welter (63-69kg),Great Britain,Boxing
Gold Medal,1,IRIE S,IRIE Sena,W,JPN,BOX,Women's Feather (54-57kg),Japan,Boxing
Silver Medal,2,PETECIO N,PETECIO Nesthy,W,PHI,BOX,Women's Feather (54-57kg),Philippines,Boxing
Gold Medal,1,JORGE F,JORGE ENRIQUEZ Fernando Dayan,M,CUB,CSP,Men's Canoe Double 1000m,Cuba,Canoe Sprint
Gold Medal,1,TORRES S,TORRES MADRIGAL Serguey,M,CUB,CSP,Men's Canoe Double 1000m,Cuba,Canoe Sprint
Silver Medal,2,LIU H,LIU Hao,M,CHN,CSP,Men's Canoe Double 1000m,People's Republic of China,Canoe Sprint
Silver Medal,2,ZHENG P,ZHENG Pengfei,M,CHN,CSP,Men's Canoe Double 1000m,People's Republic of China,Canoe Sprint
Bronze Medal,3,HECKER T,HECKER Tim,M,GER,CSP,Men's Canoe Double 1000m,Germany,Canoe Sprint
Bronze Medal,3,BRENDEL S,BRENDEL Sebastian,M,GER,CSP,Men's Canoe Double 1000m,Germany,Canoe Sprint
Gold Medal,1,KOPASZ B,KOPASZ Balint,M,HUN,CSP,Men's Kayak Single 1000m,Hungary,Canoe Sprint
Silver Medal,2,VARGA A,VARGA Adam,M,HUN,CSP,Men's Kayak Single 1000m,Hungary,Canoe Sprint
Bronze Medal,3,PIMENTA F,PIMENTA Fernando,M,POR,CSP,Men's Kayak Single 1000m,Portugal,Canoe Sprint
Gold Medal,1,CARRINGTON L,CARRINGTON Lisa,W,NZL,CSP,Women's Kayak Double 500m,New Zealand,Canoe Sprint
Gold Medal,1,REGAL C,REGAL Caitlin,W,NZL,CSP,Women's Kayak Double 500m,New Zealand,Canoe Sprint
Silver Medal,2,PULAWSKA A,PULAWSKA Anna,W,POL,CSP,Women's Kayak Double 500m,Poland,Canoe Sprint
Silver Medal,2,NAJA K,NAJA Karolina,W,POL,CSP,Women's Kayak Double 500m,Poland,Canoe Sprint
Bronze Medal,3,KOZAK D,KOZAK Danuta,W,HUN,CSP,Women's Kayak Double 500m,Hungary,Canoe Sprint
Bronze Medal,3,BODONYI D,BODONYI Dora,W,HUN,CSP,Women's Kayak Double 500m,Hungary,Canoe Sprint
Gold Medal,1,CARRINGTON L,CARRINGTON Lisa,W,NZL,CSP,Women's Kayak Single 200m,New Zealand,Canoe Sprint
Silver Medal,2,PORTELA T,PORTELA Teresa,W,ESP,CSP,Women's Kayak Single 200m,Spain,Canoe Sprint
Bronze Medal,3,JORGENSEN EA,JORGENSEN Emma Aastrand,W,DEN,CSP,Women's Kayak Single 200m,Denmark,Canoe Sprint
Gold Medal,1,van den BERG R,van den BERG Roy,M,NED,CTR,Men's Team Sprint,Netherlands,Cycling Track
Gold Medal,1,HOOGLAND J,HOOGLAND Jeffrey,M,NED,CTR,Men's Team Sprint,Netherlands,Cycling Track
Gold Medal,1,BUCHLI M,BUCHLI Matthijs,M,NED,CTR,Men's Team Sprint,Netherlands,Cycling Track
Gold Medal,1,LAVREYSEN H,LAVREYSEN Harrie,M,NED,CTR,Men's Team Sprint,Netherlands,Cycling Track
Silver Medal,2,CARLIN J,CARLIN Jack,M,GBR,CTR,Men's Team Sprint,Great Britain,Cycling Track
Silver Medal,2,KENNY J,KENNY Jason,M,GBR,CTR,Men's Team Sprint,Great Britain,Cycling Track
Silver Medal,2,OWENS R,OWENS Ryan,M,GBR,CTR,Men's Team Sprint,Great Britain,Cycling Track
Bronze Medal,3,VIGIER S,VIGIER Sebastien,M,FRA,CTR,Men's Team Sprint,France,Cycling Track
Bronze Medal,3,HELAL R,HELAL Rayan,M,FRA,CTR,Men's Team Sprint,France,Cycling Track
Bronze Medal,3,GRENGBO F,GRENGBO Florian,M,FRA,CTR,Men's Team Sprint,France,Cycling Track
Gold Medal,1,BRENNAUER L,BRENNAUER Lisa,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,BRAUSSE F,BRAUSSE Franziska,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,KROEGER M,KROEGER Mieke,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,KLEIN L,KLEIN Lisa,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Silver Medal,2,ARCHIBALD K,ARCHIBALD Katie,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,BARKER E,BARKER Elinor,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,EVANS N,EVANS Neah,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,KENNY L,KENNY Laura,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,KNIGHT J,KNIGHT Josie,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Bronze Medal,3,WILLIAMS L,WILLIAMS Lily,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,DYGERT C,DYGERT Chloe,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,WHITE E,WHITE Emma,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,VALENTE J,VALENTE Jennifer,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,JASTRAB M,JASTRAB Megan,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Gold Medal,1,XIE S,XIE Siyi,M,CHN,DIV,Men's 3m Springboard,People's Republic of China,Diving
Silver Medal,2,WANG Z,WANG Zongyuan,M,CHN,DIV,Men's 3m Springboard,People's Republic of China,Diving
Bronze Medal,3,LAUGHER J,LAUGHER Jack,M,GBR,DIV,Men's 3m Springboard,Great Britain,Diving
Gold Medal,1,SCOTT G,SCOTT Giles,M,GBR,SAL,Men's One Person Dinghy (Heavyweight) - Finn,Great Britain,Sailing
Silver Medal,2,BERECZ Z,BERECZ Zsombor,M,HUN,SAL,Men's One Person Dinghy (Heavyweight) - Finn,Hungary,Sailing
Bronze Medal,3,CARDONA MENDEZ J,CARDONA MENDEZ Joan,M,ESP,SAL,Men's One Person Dinghy (Heavyweight) - Finn,Spain,Sailing
Gold Medal,1,BITHELL S,BITHELL Stuart,M,GBR,SAL,Men's Skiff - 49er,Great Britain,Sailing
Gold Medal,1,FLETCHER D,FLETCHER Dylan,M,GBR,SAL,Men's Skiff - 49er,Great Britain,Sailing
Silver Medal,2,BURLING P,BURLING Peter,M,NZL,SAL,Men's Skiff - 49er,New Zealand,Sailing
Silver Medal,2,TUKE B,TUKE Blair,M,NZL,SAL,Men's Skiff - 49er,New Zealand,Sailing
Bronze Medal,3,HEIL E,HEIL Erik,M,GER,SAL,Men's Skiff - 49er,Germany,Sailing
Bronze Medal,3,PLOESSEL T,PLOESSEL Thomas,M,GER,SAL,Men's Skiff - 49er,Germany,Sailing
Gold Medal,1,BANTI C,BANTI Caterina,X,ITA,SAL,Mixed Multihull - Nacra 17 Foiling,Italy,Sailing
Gold Medal,1,TITA R,TITA Ruggero,X,ITA,SAL,Mixed Multihull - Nacra 17 Foiling,Italy,Sailing
Silver Medal,2,GIMSON J,GIMSON John,X,GBR,SAL,Mixed Multihull - Nacra 17 Foiling,Great Britain,Sailing
Silver Medal,2,BURNET A,BURNET Anna,X,GBR,SAL,Mixed Multihull - Nacra 17 Foiling,Great Britain,Sailing
Bronze Medal,3,STUHLEMMER A,STUHLEMMER Alica,X,GER,SAL,Mixed Multihull - Nacra 17 Foiling,Germany,Sailing
Bronze Medal,3,KOHLHOFF P,KOHLHOFF Paul,X,GER,SAL,Mixed Multihull - Nacra 17 Foiling,Germany,Sailing
Gold Medal,1,KUNZE K,KUNZE Kahena,W,BRA,SAL,Women's Skiff - 49er FX,Brazil,Sailing
Gold Medal,1,GRAEL M,GRAEL Martine,W,BRA,SAL,Women's Skiff - 49er FX,Brazil,Sailing
Silver Medal,2,BEUCKE S,BEUCKE Susann,W,GER,SAL,Women's Skiff - 49er FX,Germany,Sailing
Silver Medal,2,LUTZ T,LUTZ Tina,W,GER,SAL,Women's Skiff - 49er FX,Germany,Sailing
Bronze Medal,3,BEKKERING A,BEKKERING Annemiek,W,NED,SAL,Women's Skiff - 49er FX,Netherlands,Sailing
Bronze Medal,3,DUETZ A,DUETZ Annette,W,NED,SAL,Women's Skiff - 49er FX,Netherlands,Sailing
Gold Medal,1,DJURAEV A,DJURAEV Akbar,M,UZB,WLF,Men's 109kg,Uzbekistan,Weightlifting
Silver Medal,2,MARTIROSYAN S,MARTIROSYAN Simon,M,ARM,WLF,Men's 109kg,Armenia,Weightlifting
Bronze Medal,3,PLESNIEKS A,PLESNIEKS Arturs,M,LAT,WLF,Men's 109kg,Latvia,Weightlifting
Gold Medal,1,LORINCZ T,LORINCZ Tamas,M,HUN,WRE,Men's Greco-Roman 77kg,Hungary,Wrestling
Silver Medal,2,MAKHMUDOV A,MAKHMUDOV Akzhol,M,KGZ,WRE,Men's Greco-Roman 77kg,Kyrgyzstan,Wrestling
Bronze Medal,3,HUSEYNOV R,HUSEYNOV Rafig,M,AZE,WRE,Men's Greco-Roman 77kg,Azerbaijan,Wrestling
Bronze Medal,3,YABIKU S,YABIKU Shohei,M,JPN,WRE,Men's Greco-Roman 77kg,Japan,Wrestling
Gold Medal,1,EVLOEV M,EVLOEV Musa,M,ROC,WRE,Men's Greco-Roman 97kg,ROC,Wrestling
Silver Medal,2,ALEKSANYAN A,ALEKSANYAN Artur,M,ARM,WRE,Men's Greco-Roman 97kg,Armenia,Wrestling
Bronze Medal,3,MICHALIK T,MICHALIK Tadeusz,M,POL,WRE,Men's Greco-Roman 97kg,Poland,Wrestling
Bronze Medal,3,SARAVI M,SARAVI Mohammadhadi,M,IRI,WRE,Men's Greco-Roman 97kg,Islamic Republic of Iran,Wrestling
Gold Medal,1,MENSAH STOCK TM,MENSAH STOCK Tamyra Mariama,W,USA,WRE,Women's Freestyle 68kg,United States of America,Wrestling
Silver Medal,2,OBORUDUDU B,OBORUDUDU Blessing,W,NGR,WRE,Women's Freestyle 68kg,Nigeria,Wrestling
Bronze Medal,3,CHERKASOVA A,CHERKASOVA Alla,W,UKR,WRE,Women's Freestyle 68kg,Ukraine,Wrestling
Bronze Medal,3,ZHUMANAZAROVA M,ZHUMANAZAROVA Meerim,W,KGZ,WRE,Women's Freestyle 68kg,Kyrgyzstan,Wrestling
Gold Medal,1,KOLESNICHENKO S,KOLESNICHENKO Svetlana,W,ROC,SWA,Duet,ROC,Artistic Swimming
Gold Medal,1,ROMASHINA S,ROMASHINA Svetlana,W,ROC,SWA,Duet,ROC,Artistic Swimming
Silver Medal,2,HUANG X,HUANG Xuechen,W,CHN,SWA,Duet,People's Republic of China,Artistic Swimming
Silver Medal,2,SUN W,SUN Wenyan,W,CHN,SWA,Duet,People's Republic of China,Artistic Swimming
Bronze Medal,3,SAVCHUK A,SAVCHUK Anastasiya,W,UKR,SWA,Duet,Ukraine,Artistic Swimming
Bronze Medal,3,FIEDINA M,FIEDINA Marta,W,UKR,SWA,Duet,Ukraine,Artistic Swimming
Gold Medal,1,de GRASSE A,de GRASSE Andre,M,CAN,ATH,Men's 200m,Canada,Athletics
Silver Medal,2,BEDNAREK K,BEDNAREK Kenneth,M,USA,ATH,Men's 200m,United States of America,Athletics
Bronze Medal,3,LYLES N,LYLES Noah,M,USA,ATH,Men's 200m,United States of America,Athletics
Gold Medal,1,KORIR EK,KORIR Emmanuel Kipkurui,M,KEN,ATH,Men's 800m,Kenya,Athletics
Silver Medal,2,ROTICH FC,ROTICH Ferguson Cheruiyot,M,KEN,ATH,Men's 800m,Kenya,Athletics
Bronze Medal,3,DOBEK P,DOBEK Patryk,M,POL,ATH,Men's 800m,Poland,Athletics
Gold Medal,1,WARNER D,WARNER Damian,M,CAN,ATH,Men's Decathlon,Canada,Athletics
Silver Medal,2,MAYER K,MAYER Kevin,M,FRA,ATH,Men's Decathlon,France,Athletics
Bronze Medal,3,MOLONEY A,MOLONEY Ashley,M,AUS,ATH,Men's Decathlon,Australia,Athletics
Gold Medal,1,NOWICKI W,NOWICKI Wojciech,M,POL,ATH,Men's Hammer Throw,Poland,Athletics
Silver Medal,2,HENRIKSEN E,HENRIKSEN Eivind,M,NOR,ATH,Men's Hammer Throw,Norway,Athletics
Bronze Medal,3,FAJDEK P,FAJDEK Pawel,M,POL,ATH,Men's Hammer Throw,Poland,Athletics
Gold Medal,1,CHEMUTAI P,CHEMUTAI Peruth,W,UGA,ATH,Women's 3000m Steeplechase,Uganda,Athletics
Silver Medal,2,FRERICHS C,FRERICHS Courtney,W,USA,ATH,Women's 3000m Steeplechase,United States of America,Athletics
Bronze Medal,3,KIYENG H,KIYENG Hyvin,W,KEN,ATH,Women's 3000m Steeplechase,Kenya,Athletics
Gold Medal,1,McLAUGHLIN S,McLAUGHLIN Sydney,W,USA,ATH,Women's 400m Hurdles,United States of America,Athletics
Silver Medal,2,MUHAMMAD D,MUHAMMAD Dalilah,W,USA,ATH,Women's 400m Hurdles,United States of America,Athletics
Bronze Medal,3,BOL F,BOL Femke,W,NED,ATH,Women's 400m Hurdles,Netherlands,Athletics
Gold Medal,1,THIAM N,THIAM Nafissatou,W,BEL,ATH,Women's Heptathlon,Belgium,Athletics
Silver Medal,2,VETTER A,VETTER Anouk,W,NED,ATH,Women's Heptathlon,Netherlands,Athletics
Bronze Medal,3,OOSTERWEGEL E,OOSTERWEGEL Emma,W,NED,ATH,Women's Heptathlon,Netherlands,Athletics
Gold Medal,1,LOPEZ A,LOPEZ Arlen,M,CUB,BOX,Men's Light Heavy (75-81kg),Cuba,Boxing
Silver Medal,2,WHITTAKER B,WHITTAKER Benjamin,M,GBR,BOX,Men's Light Heavy (75-81kg),Great Britain,Boxing
Bronze Medal,3,KUNKABAYEV K,KUNKABAYEV Kamshybek,M,KAZ,BOX,Men's Super Heavy (+91kg),Kazakhstan,Boxing
Bronze Medal,3,CLARKE F,CLARKE Frazer,M,GBR,BOX,Men's Super Heavy (+91kg),Great Britain,Boxing
Bronze Medal,3,HUANG HW,HUANG Hsiao-Wen,W,TPE,BOX,Women's Fly (48-51kg),Chinese Taipei,Boxing
Bronze Medal,3,NAMIKI T,NAMIKI Tsukimi,W,JPN,BOX,Women's Fly (48-51kg),Japan,Boxing
Bronze Medal,3,BORGOHAIN L,BORGOHAIN Lovlina,W,IND,BOX,Women's Welter (64-69kg),India,Boxing
Bronze Medal,3,JONES O,JONES Oshae,W,USA,BOX,Women's Welter (64-69kg),United States of America,Boxing
Gold Medal,1,CONSONNI S,CONSONNI Simone,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,GANNA F,GANNA Filippo,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,MILAN J,MILAN Jonathan,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,LAMON F,LAMON Francesco,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Silver Medal,2,LARSEN N,LARSEN Niklas,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,MADSEN F,MADSEN Frederik,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,HANSEN LN,HANSEN Lasse Norman,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,PEDERSEN R,PEDERSEN Rasmus,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Bronze Medal,3,O'BRIEN K,O'BRIEN Kelland,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,WELSFORD S,WELSFORD Sam,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,PLAPP L,PLAPP Lucas,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,HOWARD L,HOWARD Leigh,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,PORTER A,PORTER Alexander,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Gold Medal,1,MAHER B,MAHER Ben,O,GBR,EQU,Jumping Individual,Great Britain,Equestrian
Silver Medal,2,FREDRICSON P,FREDRICSON Peder,O,SWE,EQU,Jumping Individual,Sweden,Equestrian
Bronze Medal,3,van der VLEUTEN M,van der VLEUTEN Maikel,O,NED,EQU,Jumping Individual,Netherlands,Equestrian
Gold Medal,1,CUNHA AM,CUNHA Ana Marcela,W,BRA,OWS,Women's 10km,Brazil,Marathon Swimming
Silver Medal,2,van ROUWENDAAL S,van ROUWENDAAL Sharon,W,NED,OWS,Women's 10km,Netherlands,Marathon Swimming
Bronze Medal,3,LEE K,LEE Kareena,W,AUS,OWS,Women's 10km,Australia,Marathon Swimming
Gold Medal,1,RYAN W,RYAN Will,M,AUS,SAL,Men's Two Person Dinghy - 470,Australia,Sailing
Gold Medal,1,BELCHER M,BELCHER Mathew,M,AUS,SAL,Men's Two Person Dinghy - 470,Australia,Sailing
Silver Medal,2,BERGSTROM F,BERGSTROM Fredrik,M,SWE,SAL,Men's Two Person Dinghy - 470,Sweden,Sailing
Silver Medal,2,DAHLBERG A,DAHLBERG Anton,M,SWE,SAL,Men's Two Person Dinghy - 470,Sweden,Sailing
Bronze Medal,3,RODRIGUEZ N,RODRIGUEZ GARCIA-PAZ Nicolas,M,ESP,SAL,Men's Two Person Dinghy - 470,Spain,Sailing
Bronze Medal,3,XAMMAR J,XAMMAR Jordi,M,ESP,SAL,Men's Two Person Dinghy - 470,Spain,Sailing
Gold Medal,1,McINTYRE E,McINTYRE Eilidh,W,GBR,SAL,Women's Two Person Dinghy - 470,Great Britain,Sailing
Gold Medal,1,MILLS H,MILLS Hannah,W,GBR,SAL,Women's Two Person Dinghy - 470,Great Britain,Sailing
Silver Medal,2,SKRZYPULEC A,SKRZYPULEC Agnieszka,W,POL,SAL,Women's Two Person Dinghy - 470,Poland,Sailing
Silver Medal,2,OGAR J,OGAR Jolanta,W,POL,SAL,Women's Two Person Dinghy - 470,Poland,Sailing
Bronze Medal,3,LECOINTRE C,LECOINTRE Camille,W,FRA,SAL,Women's Two Person Dinghy - 470,France,Sailing
Bronze Medal,3,RETORNAZ A,RETORNAZ Aloise,W,FRA,SAL,Women's Two Person Dinghy - 470,France,Sailing
Gold Medal,1,YOSOZUMI S,YOSOZUMI Sakura,W,JPN,SKB,Women's Park,Japan,Skateboarding
Silver Medal,2,HIRAKI K,HIRAKI Kokona,W,JPN,SKB,Women's Park,Japan,Skateboarding
Bronze Medal,3,BROWN S,BROWN Sky,W,GBR,SKB,Women's Park,Great Britain,Skateboarding
Gold Medal,1,TALAKHADZE L,TALAKHADZE Lasha,M,GEO,WLF,Men's +109kg,Georgia,Weightlifting
Silver Medal,2,DAVOUDI A,DAVOUDI Ali,M,IRI,WLF,Men's +109kg,Islamic Republic of Iran,Weightlifting
Bronze Medal,3,ASAAD M,ASAAD Man,M,SYR,WLF,Men's +109kg,Syrian Arab Republic,Weightlifting
Gold Medal,1,GERAEI M,GERAEI Mohammadreza,M,IRI,WRE,Men's Greco-Roman 67kg,Islamic Republic of Iran,Wrestling
Silver Medal,2,NASIBOV P,NASIBOV Parviz,M,UKR,WRE,Men's Greco-Roman 67kg,Ukraine,Wrestling
Bronze Medal,3,ELSAYED MIE,ELSAYED Mohamed Ibrahim Elsayed,M,EGY,WRE,Men's Greco-Roman 67kg,Egypt,Wrestling
Bronze Medal,3,STAEBLER F,STAEBLER Frank,M,GER,WRE,Men's Greco-Roman 67kg,Germany,Wrestling
Gold Medal,1,BELENIUK Z,BELENIUK Zhan,M,UKR,WRE,Men's Greco-Roman 87kg,Ukraine,Wrestling
Silver Medal,2,LORINCZ V,LORINCZ Viktor,M,HUN,WRE,Men's Greco-Roman 87kg,Hungary,Wrestling
Bronze Medal,3,KUDLA DM,KUDLA Denis Maksymilian,M,GER,WRE,Men's Greco-Roman 87kg,Germany,Wrestling
Bronze Medal,3,DATUNASHVILI Z,DATUNASHVILI Zurabi,M,SRB,WRE,Men's Greco-Roman 87kg,Serbia,Wrestling
Gold Medal,1,KAWAI Y,KAWAI Yukako,W,JPN,WRE,Women's Freestyle 62kg,Japan,Wrestling
Silver Medal,2,TYNYBEKOVA A,TYNYBEKOVA Aisuluu,W,KGZ,WRE,Women's Freestyle 62kg,Kyrgyzstan,Wrestling
Bronze Medal,3,KOLIADENKO I,KOLIADENKO Iryna,W,UKR,WRE,Women's Freestyle 62kg,Ukraine,Wrestling
Bronze Medal,3,YUSEIN TM,YUSEIN Taybe Mustafa,W,BUL,WRE,Women's Freestyle 62kg,Bulgaria,Wrestling
Gold Medal,1,PARCHMENT H,PARCHMENT Hansle,M,JAM,ATH,Men's 110m Hurdles,Jamaica,Athletics
